Feature1,Feature2,Feature3
54.96714153011233,48.61735698828815,56.47688538100692
65.23029856408026,47.658466252766644,47.6586304305082
65.79212815507391,57.67434729152909,45.30525614065048
55.42560043585965,45.365823071875376,45.34270246429743
52.41962271566034,30.86719755342202,32.75082167486967
44.37712470759027,39.87168879665576,53.142473325952736
40.91975924478789,35.87696298664709,64.65648768921554
47.74223699513465,50.67528204687924,35.75251813786544
44.556172754748175,51.10922589709866,38.490064225776976
53.75698018345672,43.99361310081195,47.083062502067236
